URL,Property Name,Rating,Normal Price,Price after Discount,Number of remaining rooms,District
https://mamikos.com/room/kost-jakarta-barat-kost-campur-eksklusif-kost-apik-mangga-besar-28b-tipe-b-tamansari-jakarta-barat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Mangga Besar 28B Tipe B Tamansari Jakarta Barat,0,Rp2.000.000,Rp1.700.000,0,Taman Sari
https://mamikos.com/room/kost-jakarta-pusat-kost-campur-eksklusif-kost-apik-pondok-sagre-kepu-tipe-c-senen-jakarta-pusat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Pondok Sagre Kepu Tipe C Senen Jakarta Pusat,5.0,Rp1.540.000,Rp1.432.200,Sisa 4 kamar,Kecamatan Senen
https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-eksklusif-kost-apik-bendungan-hilir-95-tipe-a-tanah-abang-jakarta-pusat?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Bendungan Hilir 95 Tipe A Tanah Abang Jakarta Pusat,4.1,Rp1.420.000,Rp1.178.600,Sisa 2 kamar,Kecamatan Tanah Abang
https://mamikos.com/room/kost-kabupaten-sumedang-kost-campur-eksklusif-kost-singgahsini-maison-unpad-tipe-d-jatinangor-jawa-barat?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Maison UNPAD Tipe D Jatinangor Jawa Barat,4.6,Rp2.000.000,Rp1.700.000,Sisa 2 kamar,Jatinangor
https://mamikos.com/room/kost-jakarta-timur-kost-putra-eksklusif-kost-apik-rumah-adel-tipe-a-makasar-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Rumah Adel Tipe A Makasar Jakarta Timur,0,Rp1.350.000,Rp1.120.500,Sisa 1 kamar,Makasar
https://mamikos.com/room/kost-sleman-kost-putri-murah-kost-apik-puri-shastri-fiqata-tipe-b-yogyakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Puri Shastri Fiqata Tipe B Yogyakarta,4.5,Rp900.000,Rp764.000,Sisa 2 kamar,Depok
https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-singgahsini-pim-margonda-raya-beji-depok-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini PIM Margonda Raya Beji Depok,4.5,Rp1.700.000,Rp1.360.000,Sisa 1 kamar,Beji
https://mamikos.com/room/kost-jakarta-selatan-kost-putra-eksklusif-kost-singgahsini-east-37-tipe-a-tebet-timur-jakarta-selatan?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini East 37 Tipe A Tebet Timur Jakarta Selatan,4.5,Rp1.870.000,Rp1.683.000,Sisa 1 kamar,Tebet
https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-apik-dk-20-tipe-a-dukuh-pakis-surabaya-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik DK 20 Tipe A Dukuh Pakis Surabaya,0,Rp2.108.800,Rp1.792.480,0,Dukuh Pakis
https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-apik-bu-djoko-tipe-a-cibeunying-kaler-bandung?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Bu Djoko Tipe A Cibeunying Kaler Bandung,0,Rp1.125.000,Rp922.500,0,Cibeunying Kaler
https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-apik-dk-20-tipe-b-dukuh-pakis-surabaya-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik DK 20 Tipe B Dukuh Pakis Surabaya,0,Rp1.840.000,Rp1.600.800,0,Dukuh Pakis
https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-apik-ciumbuleuit-1-tipe-a-cidadap-bandung-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Ciumbuleuit 1 Tipe A Cidadap Bandung,4.7,Rp650.000,Rp539.500,0,Cidadap
https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-singgahsini-prestige-tipe-a-tanjung-duren-jakarta-barat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Prestige Tipe A Tanjung Duren Jakarta Barat,4.6,Rp2.400.000,Rp2.088.000,Sisa 1 kamar,Kecamatan Grogol petamburan
https://mamikos.com/room/kost-tangerang-kost-campur-eksklusif-kost-singgahsini-permata-medang-tipe-a-gading-serpong-tangerang-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Permata Medang Tipe A Gading Serpong Tangerang,4.5,Rp1.700.000,Rp1.479.000,0,Kecamatan Pagedangan
https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-apik-asia-baru-40a-tipe-a-kebon-jeruk-jakarta-barat?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Asia Baru 40A Tipe A Kebon Jeruk Jakarta Barat,4.5,Rp1.450.000,Rp1.189.000,Sisa 1 kamar,Kebon Jeruk
https://mamikos.com/room/kost-jakarta-utara-kost-campur-eksklusif-kost-singgahsini-malale-b3-tipe-a-kelapa-gading-jakarta-utara-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Malale B3 Tipe A Kelapa Gading Jakarta Utara,4.9,Rp2.400.000,Rp2.160.000,Sisa 1 kamar,Kecamatan Kelapa Gading
https://mamikos.com/room/kost-depok-kost-putri-eksklusif-kost-apik-hana-ui-tipe-d-beji-depok-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Hana UI Tipe D Beji Depok,4.2,Rp1.300.000,Rp1.209.000,Sisa 1 kamar,Beji
https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-apik-kebayoran-lama-17d-permata-hijau-jakarta-barat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Kebayoran Lama 17D Permata Hijau Jakarta Barat,4.5,Rp1.320.000,Rp1.148.400,Sisa 1 kamar,Kecamatan Kebon Jeruk
https://mamikos.com/room/kost-jakarta-utara-kost-campur-eksklusif-kost-singgahsini-mangala-22-tipe-a-pademangan-jakarta-utara-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Mangala 22 Tipe A Pademangan Jakarta Utara,4.4,Rp1.900.000,Rp1.520.000,Sisa 1 kamar,Pademangan
https://mamikos.com/room/kost-kota-jakarta-pusat-kost-putri-eksklusif-kost-singgahsini-joy-kramat-sentiong-85-tipe-a-senen-jakarta-pusat?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Joy Kramat Sentiong 85 Tipe A Senen Jakarta Pusat,4.4,Rp1.950.000,Rp1.560.000,Sisa 1 kamar,Kecamatan Senen
https://mamikos.com/room/kost-jakarta-timur-kost-putra-eksklusif-kost-apik-green-leaves-home-tipe-b-jatinegara-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Green Leaves Home Tipe B Jatinegara Jakarta Timur,4.2,Rp1.600.000,Rp1.360.000,Sisa 1 kamar,Jatinegara
https://mamikos.com/room/kost-jakarta-timur-kost-campur-eksklusif-kost-apik-kerja-bakti-vii-tipe-a-makasar-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Kerja Bakti VII Tipe A Makasar Jakarta Timur,0,Rp1.050.000,Rp871.500,Sisa 3 kamar,Makasar
